0⃣   0, keycap, zero
💯   100, a+, bruh, clearly, faithful, full, fleek, hbd, homie, hundred, kidding, perfect score, score, hundred points, true, truth, on point, agree, yup, keep it 100, definitely
💶   100, currency, money, bank, banknote, bill, note, rich, euro, euro banknote
💙   143, heart, blue, emotion, ily, love, romance, blue heart
💘   143, arrow, heart, adorbs, valentine, date, emotion, ily, love, romance, cupid, heart with arrow
💛   143, heart, emotion, ily, love, cardiac, yellow heart, yellow
💚   143, heart, green, emotion, ily, love, romantic, green heart
💝   143, heart, valentine, emotion, ily, anniversary, kisses, ribbon, xoxo, heart with ribbon
💜   143, heart, emotion, ily, love, bestest, purple, purple heart
💟   143, heart, emotion, purple heart, white hearth, heart decoration
💞   143, heart, adorbs, emotion, anniversary, revolving hearts, revolving
💓   143, heart, emotion, ily, love, cardio, heartbeat, pulsating, pulse, beating heart, beating
💕   143, heart, dating, date, emotion, ily, love, anniversary, kisses, xoxo, hearts, loving, two hearts
💗   143, heart, excited, emotion, ily, kisses, xoxo, pulse, growing, heartpulse, muah, nervous, growing heart
💖   143, heart, excited, morning, sparkle, emotion, ily, kisses, xoxo, good night, sparkling, sparkling heart
😙   143, face, dating, flirt, eye, kiss, night, date, ily, love, kisses, smile, closed eyes, kissing face with smiling eyes
😘   143, face, heart, bae, flirt, kiss, adorbs, night, morning, ily, love, romance, romantic, kisses, xoxo, muah, love you, lover, miss you, smooch, smooches, face blowing a kiss
😗   143, face, dating, flirt, kiss, kissing, date, ily, love, kisses, xoxo, love you, smooch, smooches, kissing face
😍   143, face, heart, bae, in love, eye, ily, love, romance, romantic, kisses, xoxo, hearts, loving, smile, feels, smiling face with heart-eyes
😚   143, face, bae, dating, flirt, eye, kiss, closed, date, ily, kisses, xoxo, smooches, blush, under the tuscan sun, kissing face with closed eyes
🔢   1234, input, numbers, input numbers
💁‍♂   diva, fetch, gossip, hand, sassy, man tipping hand, help, information, tipping, whatever, sarcastic, sarcasm, hair flip, hair flick
💁   diva, fetch, gossip, hand, sassy, help, information, tipping, whatever, sarcastic, sarcasm, hair flip, hair flick, person tipping hand, woman tipping hand
🖕   hand, finger, middle finger
🖖   hand, finger, hands, spock, star trek, vulcan, vulcan salute
🖐   hand, finger, raised hand with fingers splayed, splayed, stop
👬   hand, man, zodiac, everyone, friend, friends, bae, couple, dating, hold, in love, boys, two men holding hands, twins, gay, queer, lgbt, lgbtq, glbt, glbtq, lgbtqia
👭   hand, woman, bff, everyone, friend, friends, bae, couple, dating, hold, gay, queer, lgbt, lgbtq, glbt, glbtq, lgbtqia, bestfriend, bestfriends, bestie, bond, bonding, daughters, friendship, girls, lesbian, ladies, sis, sister, sisters, women, two women holding hands
👐   hand, jazz hands, open, open hands, hug, swerve
👆   hand, finger, index, backhand, point, up, backhand index pointing up
👇   hand, down, finger, index, backhand, point, backhand index pointing down
👉   hand, finger, index, backhand, point, right, backhand index pointing right
👋   hand, cya, felicia, g2g, gtg, later, outtie, ttfn, ttyl, wave, waving, waving hand, bye, hi, hey, yo, u there?
👌   hand, fleek, three, awesome, dope, gotcha, legit, bet, got it, sweet, ok, okay, pinch, rad, OK, OK hand
👍   hand, fleek, up, awesome, dope, gotcha, legit, okay, rad, +1, good, great, like, thumb, thumbs up, tubular, yeah, yes, nice
👏   hand, homie, excited, awesome, great, nice, applause, approval, clap, congrats, congratulations, prayed, yay, clapping hands, well done, good job
🙆   hand, omg, OK, exercise, gesture, person gesturing OK, woman gesturing OK
✌   hand, victory, peace, victory hand, v
✍   hand, writing hand, write
✋   hand, stop, five, high five, raised hand
✊   hand, clenched, fist, solidarity, raised fist
🤟   hand, love-you gesture, ILY, i love you, three fingers
🤞   hand, finger, cross, luck, fingers crossed
🤝   hand, agreement, handshake, meeting, shake, deal
🤙   hand, call
🤘   hand, finger, horns, h, h town, sign of the horns, rock-on
🙋   hand, question, hands, gesture, raised, i know, me, person raising hand, woman raising hand
🙌   hand, gesture, celebration, hooray, raised, raising hands, praise
🙏   hand, gesture, bow, five, high five, pray, ask, beg, please, thank, thanks, thank you, appreciate, cmon, blessed, thx, folded hands, folded
🙅   hand, gesture, forbidden, no, prohibited, not, nope, person gesturing NO, woman gesturing NO
🧤   hand, gloves
👊   hand, bruh, agree, bro, ttyl, pound, boom, rock, clenched, fist, absolutely, bump, correct, knuckle, punch, oncoming fist
👎   hand, down, thumb, no, nope, bad, -1, dislike, no good, thumbs down
👈   hand, finger, index, backhand, point, left, backhand index pointing left
☝   hand, finger, index, point, up, index pointing up, this
🙋‍♂   hand, question, hands, gesture, raised, i know, me, person raising hand, man raising hand
🙆‍♂   hand, omg, OK, exercise, gesture, man gesturing OK
🙅‍♂   hand, gesture, forbidden, no, prohibited, not, nope, man gesturing NO
🆘   help, button, SOS button, sos
ℹ   information, i
💅   whatever, cosmetics, makeup, manicure, nail, polish, nail polish, care, bored, i'm done
🙄   whatever, face, shade, eyes, rolling, eyeroll, face with rolling eyes
😝   whatever, face, eye, omg, tongue, yolo, gross, horrible, face with stuck-out tongue & closed eyes, taste
😒   whatever, face, smh, bored, pissed, unhappy, ..., coolstorybro, jealous, jel, jelly, ugh, unamused, weird, fine, uhh, wtf, unamused face
😑   whatever, face, omg, no, cost, dead, unhappy, jealous, jel, jelly, fine, wtf, awk, awkward, bad, basic, expressionless, inexpressive, uh, uh oh, unexpressive, straight face, expressionless face, unimpressed, not impressed, uh
oh, not
impressed
😐   whatever, face, shade, dead, jealous, jel, jelly, unamused, awk, awkward, bad, basic, expressionless, uh, uh oh, unimpressed, not impressed, deadpan, neutral, blank, not amused, not funny, not laughing, neutral face
😴   whatever, face, sleep, sleeping, tired, zzz, good night, bed, bedtime, nap, sleeping face, yawn
🧝‍♀️   woman elf, magical, elf, LOTR style
🧝‍♂️   magical, elf, man elf
👨‍👩‍👧   family, girl, man, woman
👩‍👩‍👦‍👦   family, woman, boy
👩‍👩‍👦   family, woman, boy, gay, queer, lgbt, lgbtq, glbt, glbtq, lgbtqia, lesbian, bisexual
👩‍👩‍👧   family, girl, woman, gay, queer, lgbt, lgbtq, glbt, glbtq, lgbtqia, lesbian, bisexual
👩‍👦‍👦   family, woman, boy
👨‍👧‍👧   family, girl, man
👨‍👧‍👦   family, girl, man, boy
👨‍👨‍👦   family, man, boy, gay, queer, lgbt, lgbtq, glbt, glbtq, lgbtqia, bisexual
👨‍👨‍👧   family, girl, man, gay, lgbt, lgbtq, glbt, glbtq, lgbtqia, bisexual
👨‍👨‍👦‍👦   family, man, boy, gay, queer, lgbt, lgbtq, glbt, glbtq, lgbtqia, bisexual
👨‍👨‍👧‍👧   family, girl, man, gay, queer, lgbt, lgbtq, glbt, glbtq, lgbtqia, bisexual
👨‍👨‍👧‍👦   family, girl, man, boy, gay, queer, lgbtq, glbt, glbtq, lgbtqia, bisexual
👨‍👦   family, man, boy
👨‍👧   family, girl, man
👨‍👦‍👦   family, man, boy
👩‍👩‍👧‍👧   family, girl, woman
👩‍👩‍👧‍👦   family, girl, woman, boy
👪   family, child
👨‍👩‍👦‍👦   family, man, woman, boy
👨‍👩‍👧‍👦   family, girl, man, woman, boy
👨‍👩‍👧‍👧   family, girl, man, woman
👩‍👧   family, girl, woman
👩‍👦   family, woman, boy
👩‍👧‍👦   family, girl, woman, boy
👩‍👧‍👧   family, girl, woman
👧   girl, lady, young, bangs, bright-eyed, daughter, pigtails
👱   man, blonde, dude, flat top, blond-haired person
👲   man, hat, man with Chinese cap, guapimao
👴   man, bald, elderly, losing hair, old man, old dude, grandpa, grandfather, wise, old
👷   man, hat, construction, hardhat, worker, construction worker, work, helmet
👨   man, boy, friend, boyfriend, bro
👫   man, woman, everyone, friend, friends, bae, couple, dating, flirt, man and woman holding hands, hold, in love
👮   man, cop, officer, policeman, police, police officer
👞   man, clothes, clothing, shoe, shoes, shopping, brown, feet, foot, kick, man’s shoe
👨‍🔬   man, biologist, chemist, engineer, mathematician, physicist, scientist
👨‍🔧   man, electrician, mechanic, plumber, tradesperson
👨‍🚒   man, firefighter, firetruck
👨‍🚀   man, space, astronaut, rocket
🤾‍♂   man, handball
👨‍💼   man, architect, business, manager, office, white-collar
🤵   man, formal, groom, tuxedo
👨‍⚖   man, justice, judge, scales
👨‍⚕   man, doctor, healthcare, nurse, therapist
👨‍💻   man, computer, coder, developer, inventor, software, technologist
👨‍🌾   man, farmer, gardener, rancher
👨‍🍳   man, chef, cook
🤽‍♂   man, water polo
🤸‍♂   man, cartwheel, gymnastics
🤹‍♂   man, juggling, juggle, multitask
👨‍🎤   man, star, actor, entertainer, rock, singer, rockstar
👨‍🎨   man, palette, artist
👨‍🎓   man, graduate, student
👨‍✈   man, plane, pilot
🤦‍♂   man, disbelief, exasperation, facepalm
🚹   man, lavatory, restroom, wc, men’s room
👨‍🏫   man, instructor, professor, teacher
👨‍🏭   man, worker, factory, assembly, industrial
🕴   man, business, man in business suit levitating, suit
🕵   man, detective, sleuth, spy
🤷‍♂   man, i dunno, dunno, doubt, ignorance, indifference, shrug
👵   woman, wise, old, bad haircut, blond, blondie, granny, grandma, grandmother, lady, old woman
👠   woman, clothes, clothing, dress, heel, shoe, shoes, shopping, heels, fashion, high-heeled shoe, stilletto
👡   woman, shoe, sandal, woman’s sandal
👢   woman, clothes, clothing, dress, shoe, shoes, shopping, boot, woman’s boot
👩   woman, blonde, blondie, lady, haircut
👩‍💼   woman, architect, business, manager, office, white-collar
👒   woman, hat, clothes, clothing, garden party, hats, woman’s hat
👚   woman, lady, clothes, clothing, dress, shopping, shirt, collar, dressed, blouse, woman’s clothes
👩‍🏭   woman, worker, factory, assembly, industrial
👩‍🏫   woman, instructor, professor, teacher
💃   woman, dancer, elegant, flair, groove, tango, flamenco, salsa, dance, festive, let's dance, woman dancing, dancing
🤾‍♀   woman, handball
👩‍🎤   woman, star, actor, entertainer, rock, singer, rockstar
👩‍🎨   woman, palette, artist
👩‍🎓   woman, graduate, student
👩‍🔧   woman, electrician, mechanic, plumber, tradesperson
🤰   woman, pregnant
👩‍🚒   woman, firefighter, firetruck
👩‍🚀   woman, space, astronaut, rocket
👩‍✈   woman, plane, pilot
👩‍💻   woman, computer, coder, developer, inventor, software, technologist
🤦‍♀   woman, disbelief, exasperation, facepalm
👩‍🌾   woman, farmer, gardener, rancher
🤽‍♀   woman, water polo
🤸‍♀   woman, cartwheel, gymnastics
🤹‍♀   woman, juggling, juggle, multitask
👩‍⚖   woman, justice, judge, scales
👩‍⚕   woman, doctor, healthcare, nurse, therapist
👩‍🔬   woman, biologist, chemist, engineer, mathematician, physicist, scientist
🚺   woman, lavatory, restroom, wc, women’s room
🕺   woman, dancer, elegant, flair, groove, tango, flamenco, salsa, dance, festive, let's dance, dancing, man dancing
👱‍♀   woman, blonde
👷‍♀   woman, hat, construction, hardhat, worker, construction worker, work, helmet
👮‍♀   woman, cop, officer, police, police officer
💂‍♀   woman, helmet, guard, buckingham palace, london
👩‍🍳   woman, chef, cook
🤷‍♀   woman, i dunno, dunno, doubt, ignorance, indifference, shrug
👦   boy, young, kid
🧟‍♀️   woman zombie, undead, walking dead, scary, halloween, zombie
🧛‍♀️   undead, vampire, teeth, woman vampire, fangs, blood
🧟‍♂️   undead, walking dead, scary, halloween, zombie, man zombie
🧛‍♂️   undead, teeth, fangs, blood, man vampire, Dracula
👹   scary, face, monster, fairy tale, fantasy, fairytale, creature, ogre, Japanese, devil, mask
👻   scary, halloween, face, monster, fairy tale, fantasy, fairytale, creature, excited, ghost, haunting, silly, boo, ghostface
😧   scary, face, wow, what, forgot, scared, stressed, unhappy, anguished, suprise, anguished face
😦   scary, face, open, mouth, wow, what, scared, frown, suprise, caught off guard, frowning face with open mouth
🍬   halloween, sweet, restaurant, dessert, candy, cavities, sweet tooth, wrapper
🍫   halloween, sweet, candy, sweet tooth, bar, chocolate, chocolate bar
🎃   halloween, lantern, jack, pumpkin, jack-o-lantern
⬜   square, geometric, white large square
⬛   square, geometric, black large square
⏹   square, stop, stop button
◼   square, geometric, black medium square
◾   square, geometric, black medium-small square
▫   square, geometric, white small square
▪   square, geometric, black small square
◻   square, geometric, white medium square
◽   square, geometric, white medium-small square
🔳   square, geometric, button, outlined, white square button
🔲   square, geometric, button, black square button
💠   geometric, comic, diamond, diamond with a dot, inside
⚫   geometric, circle, black circle
⚪   geometric, circle, white circle
🔻   geometric, down, red, red triangle pointed down
🔺   geometric, red, red triangle pointed up
🔹   geometric, blue, diamond, small blue diamond
🔸   geometric, orange, diamond, small orange diamond
🔷   geometric, blue, diamond, large blue diamond
🔶   geometric, orange, diamond, large orange diamond
🔵   geometric, circle, blue, blue circle
🔴   geometric, red, circle, red circle
🔘   geometric, radio, button, radio button
🐟   animal, dinner, fish, fishes, fishing, zodiac, Pisces
🐝   animal, bee, bumblebee, honey, honeybee, insect, nature, spring
🐂   animal, zodiac, animals, bull, farm, ox, taurus, Taurus
🐍   animal, zodiac, serpent, snake, bearer, Ophiuchus
🐳   animal, face, beach, ocean, spouting, whale, spouting whale
🐲   animal, face, fairy tale, fairytale, dragon, dragon face
🐱   animal, face, cat, kitten, kitty, pet, cat face
🐰   animal, face, bunny, pet, rabbit, rabbit face
🐷   animal, farm, face, bacon, pig, pork, wilbur, pig face
🐶   animal, face, pet, adorbs, dog, puppies, puppy, dog face
🐵   animal, face, banana, curious george, monkey, monkey face
🐴   animal, farm, face, dressage, equine, horse, horses, horse face
🐻   animal, honey, face, bear, grizzly, growl, yosemite, bear face
🐺   animal, face, wolf, wolf face
🐹   animal, face, pet, hamster, hamster face
🐸   animal, face, princess, frog, frog face
🐽   animal, farm, face, nose, pig, smel, snout, pig nose
🐼   animal, face, bamboo, panda, panda face
🐣   animal, baby, egg, bird, hatching, hatching chick, chick
🐢   animal, turtle, turtles, terrapin, tortoise
🐡   animal, fish, blowfish
🐠   animal, fish, fishes, tropical, tropical fish
🐧   animal, antartica, penguin
🐦   animal, bird, ornithology
🐥   animal, baby, newborn, chick, front-facing baby chick
🐤   animal, baby, bird, chick, baby chick
🐫   animal, bactrian, camel, desert, hump, two hump, two-hump camel
🐪   animal, camel, hump, desrt, dromedary, one hump
🐩   animal, dog, fluffy, poodle
🐨   animal, bear, australia, down under, koala
🐯   animal, face, big cat, predator, tiger, tiger face
🐮   animal, farm, face, milk, cow, moo, cow face
🐭   animal, face, mouse, mouse face
🐬   animal, beach, ocean, dolphin, flipper
🐓   animal, animals, birds, rooster
🐒   animal, banana, monkey
🐑   animal, farm, fluffy, baa, ewe, sheep, wool
🐐   animal, zodiac, animals, farm, milk, capricorn, goat, Capricorn
🐗   animal, pig, boar, game of thrones
🐖   animal, animals, farm, bacon, pig, pork, fat, sow
🐕   animal, animals, pet, dog, dogs
🐔   animal, chicken
🐛   animal, insect, bug, garden
🐚   animal, beach, conch, shell, spiral, sea shell, spiral shell
🐙   animal, creature, ocean, octopus
🐘   animal, elephant
🐞   animal, insect, nature, garden, beetle, lady beetle, ladybird, ladybug
🐜   animal, insect, garden, ant
🐃   animal, animals, buffalo, water, zoo, water buffalo
🐁   animal, animals, mouse
🐀   animal, rat
🐇   animal, animals, bunny, pet, rabbit
🐅   animal, animals, big cat, predator, tiger, zoo
🐄   animal, animals, farm, milk, cow, moo
🐋   animal, beach, ocean, whale
🐊   animal, animals, zoo, crocodile, crocodile dundee, florida
🐉   animal, fairy tale, fairytale, dragon, game of thrones, chinese, knights
🐈   animal, animals, cat, kitten, pet, cats
🐏   animal, zodiac, animals, sheep, zoo, aries, horns, ram, Aries
🐎   animal, farm, horse, belmont stakes, kentucky derby, preakness, racehorse, racing, triple crown, equestrian
🐌   animal, nature, garden, escargot, slug, snail
🐆   animal, animals, big cat, predator, zoo, leopard
🙈   animal, face, smh, evil, omg, see, monkey, gesture, forbidden, no, prohibited, not, secret, cant watch, embarassed, forgot, hide, nono, scared, see no evil, see-no-evil monkey
🙉   animal, face, evil, ears, hear, listen, monkey, gesture, forbidden, no, prohibited, not, secret, shh, hear no evil, tmi, hear-no-evil monkey
🙊   animal, face, evil, monkey, gesture, forbidden, no, prohibited, not, secret, quiet, oops, speak, speak no evil, stealth, speak-no-evil monkey
🙀   animal, face, cat, oh, surprised, weary, weary cat face
😻   animal, face, heart, eye, cat, love, smile, smiling cat face with heart-eyes
😺   animal, face, open, mouth, cat, smile, smiling cat face with open mouth
😹   animal, face, cat, tear, laugh, laughing, lol, joy, cat face with tears of joy
😸   animal, face, eye, cat, smile, grin, grinning cat face with smiling eyes
😿   animal, face, cat, sad, tear, cry, crying cat face
😾   animal, face, cat, pouting, pouting cat face
😽   animal, face, eye, kiss, cat, kissing cat face with closed eyes
😼   animal, face, cat, smile, ironic, cat face with wry smile, wry
🦅   animal, bird, eagle
🦇   animal, vampire, bat
🦆   animal, bird, duck
🦁   animal, zodiac, face, strong, alpha, lion face, mane, safari, roar, lion order, rawr, Leo, lion
🦍   animal, gorilla
🦌   animal, deer
🦏   animal, rhinoceros
🦎   animal, lizard, reptile
🦉   animal, wise, bird, owl
🦈   animal, fish, shark
🦊   animal, face, fox
🦑   animal, food, molusc, squid
🍴   dinner, food, restaurant, breakfast, breaky, cooking, eat, feed, fork, hungry, knife, lunch, fork and knife
🍽   dinner, cooking, eat, fork, knife, fork and knife with plate, plate
🍥   fish, cake, food, pastry, restaurant, fish cake with swirl, swirl
🎣   fish, sport, entertainment, pole, fishing pole
♓   fish, zodiac, Pisces, horoscope
🚣‍♀   fishing, boat, cruise, lake, river, row, rowboat, rowing, woman rowing boat
🚣   fishing, boat, cruise, lake, river, row, rowboat, rowing, person rowing boat, man rowing boat
🏺   zodiac, cooking, tool, weapon, amphora, Aquarius, jug
🏹   zodiac, arrow, tool, weapon, bow, bow and arrow, archer, archery, Sagittarius
⚖   zodiac, tool, weight, justice, scales, balance, balance scale, Libra
⛎   zodiac, serpent, snake, bearer, Ophiuchus
🦀   zodiac, crab, Cancer
🦂   zodiac, scorpion, scorpio, Scorpius
♒   zodiac, bearer, water, Aquarius, aquarius, horoscope
♐   zodiac, archer, Sagittarius, horoscope
♑   zodiac, capricorn, goat, Capricorn, horoscope
♎   zodiac, justice, scales, balance, Libra, horoscope
♏   zodiac, scorpion, scorpio, Scorpius, horoscope
♌   zodiac, Leo, lion, horoscope
♍   zodiac, horoscope, Virgo
♊   zodiac, twins, horoscope, Gemini
♋   zodiac, crab, Cancer, horoscope
♈   zodiac, ram, Aries, horoscope
♉   zodiac, bull, ox, Taurus, horoscope
🍯   honey, sweet, food, barrel, bear, honey jar, honeypot, jar, pooh, winnie the pooh, pot, honey pot
🦋   insect, butterfly, pretty
🦗   insect, bug, cricket, grasshopper, Orthoptera
🕷   insect, spider
🌵   nature, plant, desert, cactus, drought
🌅   nature, sun, morning, sunrise
🌋   nature, mountain, eruption, volcano
🌊   nature, wave, ocean, water, Kanagawa, surf, surfer, surfing, water wave
🌈   nature, gay, queer, lgbt, lgbtq, glbt, glbtq, lgbtqia, lesbian, weather, pride, rainbow, bisexual, trans, transgender, genderqueer
💧   nature, comic, water, weather, cold, drop, droplet, sad, sweat, tear
⚡   nature, lightning, electric, danger, electricity, messenger, voltage, zap, high voltage, thunder, thunderbolt
🗻   nature, mountain, fuji, mount fuji
🌸   spring, plant, cherry, blossom, flower, springtime, cherry blossom
⬅   arrow, cardinal, direction, left arrow, west
⬇   arrow, cardinal, direction, down, down arrow, south
⬆   arrow, cardinal, direction, north, up arrow
⏩   arrow, fast, double, fast-forward button, forward
⏪   arrow, double, rewind, fast reverse button
⏫   arrow, double, fast up button
⏬   arrow, down, double, fast down button
⏭   arrow, triangle, next track button, next scene, nexttrack
⏮   arrow, triangle, last track button, previous scene, previous track
⏯   arrow, right, pause, triangle, play, play or pause button
▶   arrow, right, triangle, play, play button
➡   arrow, cardinal, direction, east, right arrow
📲   arrow, cell, communication, mobile, phone, telephone, build, receive, call, mobile phone with arrow
📩   arrow, down, communication, mail, e-mail, email, envelope, letter, sent, outgoing, send, envelope with arrow
🔽   arrow, down, red, button, down button
🔼   arrow, red, button, up button
⤵   arrow, down, right arrow curving down
⤴   arrow, right arrow curving up
↪   arrow, left arrow curving right
↩   arrow, right arrow curving left
↗   arrow, direction, northeast, up-right arrow, intercardinal
↖   arrow, direction, intercardinal, northwest, up-left arrow
↕   arrow, up-down arrow
↔   arrow, left-right arrow
↙   arrow, direction, intercardinal, down-left arrow, southwest
↘   arrow, direction, intercardinal, down-right arrow, southeast
◀   arrow, triangle, left, reverse button, reverse
🔄   arrow, rewind, again, dejavu, refresh, anticlockwise arrows button, anticlockwise, counterclockwise, withershins
🔃   arrow, refresh, clockwise, clockwise vertical arrows, reload
🔂   arrow, clockwise, repeat single button, once
🔁   arrow, clockwise, repeat, repeat button
🔀   arrow, crossed, shuffle tracks button
🔝   arrow, homie, up, top, TOP arrow
🔜   arrow, omw, brb, SOON arrow, soon
🔛   arrow, mark, ON! arrow, on
🔚   arrow, end, END arrow
🔙   arrow, back, BACK arrow
📉   down, chart, data, graph, trend, downward, negative, chart decreasing
🇸🇬   flag, Singapore
🇸🇭   flag, St. Helena
🇸🇮   flag, Slovenia
🇸🇨   flag, Seychelles
🇸🇩   flag, Sudan
🇸🇪   flag, Sweden
🇸🇦   flag, Saudi Arabia
🇸🇧   flag, Solomon Islands
🇮🇴   flag, British Indian Ocean Territory
🇸🇽   flag, Sint Maarten
🇸🇾   flag, Syria
🇸🇿   flag, Swaziland
🇸🇸   flag, South Sudan
🇸🇹   flag, São Tomé & Príncipe
🇫🇲   flag, Micronesia
🇸🇴   flag, Somalia
🇮🇲   flag, Isle of Man
🇸🇷   flag, Suriname
🇸🇰   flag, Slovakia
🇸🇱   flag, Sierra Leone
🇸🇲   flag, San Marino
🇸🇳   flag, Senegal
🇮🇱   flag, Israel
🇫🇴   flag, Faroe Islands
🇫🇯   flag, Fiji
🇮🇹   flag, Italy
🏴󠁧󠁢󠁥󠁮󠁧󠁿   flag, England
🇰🇵   flag, North Korea
🇰🇷   flag, South Korea
🇰🇲   flag, Comoros
🇰🇼   flag, Kuwait
🇰🇿   flag, Kazakhstan
🇰🇬   flag, Kyrgyzstan
🇰🇮   flag, Kiribati
🇰🇪   flag, Kenya
🇸🇻   flag, El Salvador
🇩🇿   flag, Algeria
🇩🇴   flag, Dominican Republic
🇩🇰   flag, Denmark
🇩🇲   flag, Dominica
🇩🇯   flag, Djibouti
🇩🇪   flag, Germany
🇮🇪   flag, Ireland
🇮🇨   flag, Canary Islands
🇮🇷   flag, Iran
🇮🇳   flag, India
🇮🇸   flag, Iceland
🇳🇱   flag, Netherlands
🇳🇷   flag, Nauru
🇳🇵   flag, Nepal
🇳🇴   flag, Norway
🇳🇺   flag, Niue
🇳🇿   flag, New Zealand
🇳🇦   flag, Namibia
🇳🇫   flag, Norfolk Island
🇳🇪   flag, Niger
🇳🇨   flag, New Caledonia
🇳🇮   flag, Nicaragua
🇳🇬   flag, Nigeria
🇱🇷   flag, Liberia
🇱🇰   flag, Sri Lanka
🇱🇾   flag, Libya
🇱🇹   flag, Lithuania
🇱🇸   flag, Lesotho
🇱🇻   flag, Latvia
🇱🇺   flag, Luxembourg
🇱🇧   flag, Lebanon
🇱🇦   flag, Laos
🇱🇮   flag, Liechtenstein
🇱🇨   flag, St. Lucia
🇷🇼   flag, Rwanda
🇷🇺   flag, Russia
🇷🇸   flag, Serbia
🇷🇴   flag, Romania
🇷🇪   flag, Réunion
🇾🇹   flag, Mayotte
🇾🇪   flag, Yemen
🇨🇼   flag, Curaçao
🇨🇽   flag, Christmas Island
🇨🇾   flag, Cyprus
🇨🇿   flag, Czech Republic
🇨🇺   flag, Cuba
🇨🇻   flag, Cape Verde
🇨🇷   flag, Costa Rica
🇨🇱   flag, Chile
🇨🇲   flag, Cameroon
🇨🇳   flag, China
🇨🇬   flag, Congo Brazzaville, Republic of the Congo
🇨🇭   flag, Switzerland
🇨🇮   flag, Côte d’Ivoire
🇨🇩   flag, Congo Kinshasa, Democratic Republic of the Congo
🇨🇫   flag, Central African Republic
🇨🇦   flag, Canada
🇮🇩   flag, Indonesia
🇮🇶   flag, Iraq
🇹🇿   flag, Tanzania
🇹🇹   flag, Trinidad & Tobago
🇫🇰   flag, Falkland Islands
🇫🇷   flag, France
🇫🇮   flag, Finland
🇦🇱   flag, Albania
🇹🇴   flag, Tonga
🇻🇪   flag, Venezuela
🇻🇨   flag, St. Vincent & Grenadines
🇻🇮   flag, U.S. Virgin Islands
🇻🇬   flag, British Virgin Islands
🇻🇦   flag, Vatican City
🇻🇺   flag, Vanuatu
🇻🇳   flag, Vietnam
🇲🇦   flag, Morocco
🇲🇪   flag, Montenegro
🇲🇨   flag, Monaco
🇲🇩   flag, Moldova
🇲🇬   flag, Madagascar
🇲🇭   flag, Marshall Islands
🇲🇲   flag, Myanmar Burma
🇲🇳   flag, Mongolia
🇲🇰   flag, Macedonia
🇲🇱   flag, Mali
🇲🇶   flag, Martinique
🇲🇷   flag, Mauritania
🇲🇴   flag, Macau SAR China
🇲🇵   flag, Northern Mariana Islands
🇲🇺   flag, Mauritius
🇲🇻   flag, Maldives
🇲🇸   flag, Montserrat
🇲🇹   flag, Malta
🇲🇾   flag, Malaysia
🇲🇿   flag, Mozambique
🇲🇼   flag, Malawi
🇲🇽   flag, Mexico
🏁   flag, game, racing, win, sport, checkered, chequered, finish, flags, nascar, race, chequered flag
🇨🇴   flag, Colombia
🇨🇰   flag, Cook Islands
🇨🇨   flag, Cocos Keeling Islands
🇰🇳   flag, St. Kitts & Nevis
🇰🇾   flag, Cayman Islands
🇰🇭   flag, Cambodia
🇵🇦   flag, Panama
🇵🇫   flag, French Polynesia
🇵🇪   flag, Peru
🇵🇭   flag, Philippines
🇵🇬   flag, Papua New Guinea
